0 0 1.0  无将 1.0
0 1 0.05610859728506787  有将 0.05610859728506787
2 0 0.03320683111954459 北北 无将 0.03320683111954459
2 1 1.0 北北 有将 1.0
1 0 0.014165666266506602 北 无将 0.014165666266506602
1030 0 0.016993464052287584 东西西西 无将 0.016993464052287584
1030 1 0.07843137254901959 东西西西 有将 0.07843137254901959
1 1 0.04325259515570933 北 有将 0.04325259515570933
3 0 1.0 北北北 无将 1.0
3 1 0.06654783125371361 北北北 有将 0.06654783125371361
4 0 0.026143790849673203 北北北北 无将 0.026143790849673203
4101 0 1.0 东东东东南北 无将 1.0
4100 0 0.047619047619047616 东东东东南 无将 0.047619047619047616
4102 0 0.030303030303030304 东东东东南北北 无将 0.030303030303030304
4101 1 0.11204481792717086 东东东东南北 有将 0.11204481792717086
1024 0 0.030303030303030304 东西西北北北北 无将 0.030303030303030304
4 1 0.03137254901960784 北北北北 有将 0.03137254901960784
4102 1 0.12121212121212122 东东东东南北北 有将 0.12121212121212122
1032 0 0.00784313725490196 东西西西北北 无将 0.00784313725490196
1031 0 0.034526854219948847 东西西西北 无将 0.034526854219948847
4100 1 0.047058823529411764 东东东东南 有将 0.047058823529411764
1031 1 1.0 东西西西北 有将 1.0
1032 1 0.06060606060606061 东西西西北北 有将 0.06060606060606061
1024 1 0.12121212121212122 东西西北北北北 有将 0.12121212121212122
10 0 0.014165666266506602 西 无将 0.014165666266506602
4103 0 0.05392156862745098 东东东东南北北北 无将 0.05392156862745098
10 1 0.04325259515570933 西 有将 0.04325259515570933
4103 1 1.0 东东东东南北北北 有将 1.0
12 0 0.006191950464396284 西北北 无将 0.006191950464396284
11 0 0.03297682709447415 西北 无将 0.03297682709447415
12 1 0.03529411764705882 西北北 有将 0.03529411764705882
11 1 0.023529411764705882 西北 有将 0.023529411764705882
13 0 0.016993464052287584 西北北北 无将 0.016993464052287584
14 0 0.047619047619047616 西北北北北 无将 0.047619047619047616
13 1 0.07843137254901959 西北北北 有将 0.07843137254901959
14 1 0.047058823529411764 西北北北北 有将 0.047058823529411764
4104 0 1.0 东东东东南北北北北 无将 1.0
4104 1 0.3137254901960784 东东东东南北北北北 有将 0.3137254901960784
1033 0 0.022549019607843137 东西西西北北北 无将 0.022549019607843137
1033 1 0.1196078431372549 东西西西北北北 有将 0.1196078431372549
1040 0 0.047619047619047616 东西西西西 无将 0.047619047619047616
1040 1 0.047058823529411764 东西西西西 有将 0.047058823529411764
1034 0 0.05392156862745098 东西西西北北北北 无将 0.05392156862745098
1034 1 1.0 东西西西北北北北 有将 1.0
1041 0 1.0 东西西西西北 无将 1.0
1041 1 0.11204481792717086 东西西西西北 有将 0.11204481792717086
4111 0 0.029411764705882353 东东东东南西北 无将 0.029411764705882353
4111 1 0.196078431372549 东东东东南西北 有将 0.196078431372549
4110 0 1.0 东东东东南西 无将 1.0
20 0 0.03320683111954459 西西 无将 0.03320683111954459
20 1 1.0 西西 有将 1.0
4110 1 0.11204481792717086 东东东东南西 有将 0.11204481792717086
1042 0 0.030303030303030304 东西西西西北北 无将 0.030303030303030304
1042 1 0.12121212121212122 东西西西西北北 有将 0.12121212121212122
21 0 0.006191950464396284 西西北 无将 0.006191950464396284
