0 0 0 -1  鬼0 无将 胡了
0 2 0 1111  鬼2 无将 胡东胡南胡西胡北
0 2 1 -1  鬼2 有将 胡了
0 4 1 1111  鬼4 有将 胡东胡南胡西胡北
0 1 1 1111  鬼1 有将 胡东胡南胡西胡北
0 3 0 -1  鬼3 无将 胡了
3 0 0 -1 北北北 鬼0 无将 胡了
2 0 0 1 北北 鬼0 无将 胡北
3 2 0 1111 北北北 鬼2 无将 胡东胡南胡西胡北
3 2 1 -1 北北北 鬼2 有将 胡了
4 2 0 -1 北北北北 鬼2 无将 胡了
2 0 1 -1 北北 鬼0 有将 胡了
2 2 1 1111 北北 鬼2 有将 胡东胡南胡西胡北
2 4 0 -1 北北 鬼4 无将 胡了
4101 0 0 -1 东东东东南北 鬼0 无将 胡了
4100 0 0 11 东东东东南 鬼0 无将 胡西胡北
4 4 0 1110 北北北北 鬼4 无将 胡东胡南胡西
3 4 1 1111 北北北 鬼4 有将 胡东胡南胡西胡北
4 4 1 -1 北北北北 鬼4 有将 胡了
4100 2 1 111 东东东东南 鬼2 有将 胡南胡西胡北
4101 2 0 111 东东东东南北 鬼2 无将 胡南胡西胡北
2 1 0 -1 北北 鬼1 无将 胡了
4101 2 1 -1 东东东东南北 鬼2 有将 胡了
2 3 0 1111 北北 鬼3 无将 胡东胡南胡西胡北
1 0 1 1 北 鬼0 有将 胡北
4101 4 1 111 东东东东南北 鬼4 有将 胡南胡西胡北
2 3 1 -1 北北 鬼3 有将 胡了
4100 4 0 -1 东东东东南 鬼4 无将 胡了
4 1 0 1110 北北北北 鬼1 无将 胡东胡南胡西
3 1 1 1110 北北北 鬼1 有将 胡东胡南胡西
4 3 1 1110 北北北北 鬼3 有将 胡东胡南胡西
1030 0 1 1101 东西西西 鬼0 有将 胡东胡南胡北
3 3 0 -1 北北北 鬼3 无将 胡了
4100 1 0 -1 东东东东南 鬼1 无将 胡了
4101 1 1 111 东东东东南北 鬼1 有将 胡南胡西胡北
1 2 0 -1 北 鬼2 无将 胡了
4101 3 0 -1 东东东东南北 鬼3 无将 胡了
4100 3 0 111 东东东东南 鬼3 无将 胡南胡西胡北
1030 2 0 -1 东西西西 鬼2 无将 胡了
1030 4 0 1111 东西西西 鬼4 无将 胡东胡南胡西胡北
4100 3 1 -1 东东东东南 鬼3 有将 胡了
1 4 0 1111 北 鬼4 无将 胡东胡南胡西胡北
1024 0 1 1110 东西西北北北北 鬼0 有将 胡东胡南胡西
1030 4 1 -1 东西西西 鬼4 有将 胡了
1030 1 0 1111 东西西西 鬼1 无将 胡东胡南胡西胡北
1024 2 0 -1 东西西北北北北 鬼2 无将 胡了
1 4 1 -1 北 鬼4 有将 胡了
1024 4 0 1110 东西西北北北北 鬼4 无将 胡东胡南胡西
1030 1 1 -1 东西西西 鬼1 有将 胡了
1030 3 1 1111 东西西西 鬼3 有将 胡东胡南胡西胡北
1024 4 1 -1 东西西北北北北 鬼4 有将 胡了
1 1 0 1111 北 鬼1 无将 胡东胡南胡西胡北
1024 1 0 1110 东西西北北北北 鬼1 无将 胡东胡南胡西
1024 1 1 -1 东西西北北北北 鬼1 有将 胡了
1 1 1 -1 北 鬼1 有将 胡了
1024 3 1 1110 东西西北北北北 鬼3 有将 胡东胡南胡西
1 3 1 1111 北 鬼3 有将 胡东胡南胡西胡北
1031 0 0 110 东西西西北 鬼0 无将 胡南胡西
1032 2 0 1111 东西西西北北 鬼2 无将 胡东胡南胡西胡北
4103 0 0 11 东东东东南北北北 鬼0 无将 胡西胡北
4103 0 1 -1 东东东东南北北北 鬼0 有将 胡了
1032 2 1 -1 东西西西北北 鬼2 有将 胡了
4103 2 1 111 东东东东南北北北 鬼2 有将 胡南胡西胡北
4102 0 1 111 东东东东南北北 鬼0 有将 胡南胡西胡北
1031 0 1 -1 东西西西北 鬼0 有将 胡了
4103 4 0 -1 东东东东南北北北 鬼4 无将 胡了
1032 4 1 1111 东西西西北北 鬼4 有将 胡东胡南胡西胡北
1032 1 1 1111 东西西西北北 鬼1 有将 胡东胡南胡西胡北
1032 3 0 -1 东西西西北北 鬼3 无将 胡了
4103 1 0 -1 东东东东南北北北 鬼1 无将 胡了
1031 2 1 1111 东西西西北 鬼2 有将 胡东胡南胡西胡北
4102 2 0 -1 东东东东南北北 鬼2 无将 胡了
1031 4 0 -1 东西西西北 鬼4 无将 胡了
4102 4 0 111 东东东东南北北 鬼4 无将 胡南胡西胡北
4103 3 0 111 东东东东南北北北 鬼3 无将 胡南胡西胡北
4103 3 1 -1 东东东东南北北北 鬼3 有将 胡了
4102 4 1 -1 东东东东南北北 鬼4 有将 胡了
1031 1 0 -1 东西西西北 鬼1 无将 胡了
4102 1 0 111 东东东东南北北 鬼1 无将 胡南胡西胡北
1031 3 0 1111 东西西西北 鬼3 无将 胡东胡南胡西胡北
1031 3 1 -1 东西西西北 鬼3 有将 胡了
4102 1 1 -1 东东东东南北北 鬼1 有将 胡了
4104 0 0 -1 东东东东南北北北北 鬼0 无将 胡了
10 0 1 10 西 鬼0 有将 胡西
4104 2 0 110 东东东东南北北北北 鬼2 无将 胡南胡西
4102 3 1 111 东东东东南北北 鬼3 有将 胡南胡西胡北
4104 2 1 -1 东东东东南北北北北 鬼2 有将 胡了
10 2 0 -1 西 鬼2 无将 胡了
4104 4 1 110 东东东东南北北北北 鬼4 有将 胡南胡西
4104 1 1 110 东东东东南北北北北 鬼1 有将 胡南胡西
10 4 0 1111 西 鬼4 无将 胡东胡南胡西胡北
10 4 1 -1 西 鬼4 有将 胡了
4104 3 0 -1 东东东东南北北北北 鬼3 无将 胡了
10 1 0 1111 西 鬼1 无将 胡东胡南胡西胡北
10 1 1 -1 西 鬼1 有将 胡了
1033 0 1 1111 东西西西北北北 鬼0 有将 胡东胡南胡西胡北
1033 2 0 -1 东西西西北北北 鬼2 无将 胡了
10 3 1 1111 西 鬼3 有将 胡东胡南胡西胡北
1034 0 0 110 东西西西北北北北 鬼0 无将 胡南胡西
12 2 0 1111 西北北 鬼2 无将 胡东胡南胡西胡北
1033 4 0 1111 东西西西北北北 鬼4 无将 胡东胡南胡西胡北
1033 4 1 -1 东西西西北北北 鬼4 有将 胡了
12 2 1 -1 西北北 鬼2 有将 胡了
1034 0 1 -1 东西西西北北北北 鬼0 有将 胡了
1034 2 1 1110 东西西西北北北北 鬼2 有将 胡东胡南胡西
12 4 1 1111 西北北 鬼4 有将 胡东胡南胡西胡北
1033 1 0 1111 东西西西北北北 鬼1 无将 胡东胡南胡西胡北
1033 1 1 -1 东西西西北北北 鬼1 有将 胡了
12 1 1 1111 西北北 鬼1 有将 胡东胡南胡西胡北
1034 4 0 -1 东西西西北北北北 鬼4 无将 胡了
1034 1 0 -1 东西西西北北北北 鬼1 无将 胡了
13 0 1 1110 西北北北 鬼0 有将 胡东胡南胡西
12 3 0 -1 西北北 鬼3 无将 胡了
1033 3 1 1111 东西西西北北北 鬼3 有将 胡东胡南胡西胡北
11 0 0 1100 西北 鬼0 无将 胡东胡南
11 2 1 1111 西北 鬼2 有将 胡东胡南胡西胡北
13 2 0 -1 西北北北 鬼2 无将 胡了
1034 3 0 1110 东西西西北北北北 鬼3 无将 胡东胡南胡西
1034 3 1 -1 东西西西北北北北 鬼3 有将 胡了
13 4 0 1111 西北北北 鬼4 无将 胡东胡南胡西胡北
11 4 0 -1 西北 鬼4 无将 胡了
11 1 0 -1 西北 鬼1 无将 胡了
13 4 1 -1 西北北北 鬼4 有将 胡了
13 1 0 1111 西北北北 鬼1 无将 胡东胡南胡西胡北
11 3 0 1111 西北 鬼3 无将 胡东胡南胡西胡北
11 3 1 -1 西北 鬼3 有将 胡了
13 1 1 -1 西北北北 鬼1 有将 胡了
13 3 1 1111 西北北北 鬼3 有将 胡东胡南胡西胡北
14 0 0 1100 西北北北北 鬼0 无将 胡东胡南
14 2 1 1110 西北北北北 鬼2 有将 胡东胡南胡西
14 4 0 -1 西北北北北 鬼4 无将 胡了
14 1 0 -1 西北北北北 鬼1 无将 胡了
14 3 0 1110 西北北北北 鬼3 无将 胡东胡南胡西
14 3 1 -1 西北北北北 鬼3 有将 胡了
4110 0 0 -1 东东东东南西 鬼0 无将 胡了
4110 2 0 111 东东东东南西 鬼2 无将 胡南胡西胡北
1040 0 0 101 东西西西西 鬼0 无将 胡南胡北
4110 2 1 -1 东东东东南西 鬼2 有将 胡了
4110 4 1 111 东东东东南西 鬼4 有将 胡南胡西胡北
1040 2 1 1101 东西西西西 鬼2 有将 胡东胡南胡北
4110 1 1 111 东东东东南西 鬼1 有将 胡南胡西胡北
1040 4 0 -1 东西西西西 鬼4 无将 胡了
4110 3 0 -1 东东东东南西 鬼3 无将 胡了
1040 1 0 -1 东西西西西 鬼1 无将 胡了
1040 3 0 1101 东西西西西 鬼3 无将 胡东胡南胡北
1040 3 1 -1 东西西西西 鬼3 有将 胡了
1041 0 0 -1 东西西西西北 鬼0 无将 胡了
1041 2 0 1101 东西西西西北 鬼2 无将 胡东胡南胡北
1041 2 1 -1 东西西西西北 鬼2 有将 胡了
1041 4 1 1101 东西西西西北 鬼4 有将 胡东胡南胡北
1041 1 1 1101 东西西西西北 鬼1 有将 胡东胡南胡北
1041 3 0 -1 东西西西西北 鬼3 无将 胡了
4111 0 1 111 东东东东南西北 鬼0 有将 胡南胡西胡北
4111 2 0 -1 东东东东南西北 鬼2 无将 胡了
4111 4 0 111 东东东东南西北 鬼4 无将 胡南胡西胡北
20 0 0 10 西西 鬼0 无将 胡西
4111 4 1 -1 东东东东南西北 鬼4 有将 胡了
4111 1 0 111 东东东东南西北 鬼1 无将 胡南胡西胡北
20 0 1 -1 西西 鬼0 有将 胡了
20 2 1 1111 西西 鬼2 有将 胡东胡南胡西胡北
4111 1 1 -1 东东东东南西北 鬼1 有将 胡了
4111 3 1 111 东东东东南西北 鬼3 有将 胡南胡西胡北
20 4 0 -1 西西 鬼4 无将 胡了
20 1 0 -1 西西 鬼1 无将 胡了
1042 0 1 1101 东西西西西北北 鬼0 有将 胡东胡南胡北
1042 2 0 -1 东西西西西北北 鬼2 无将 胡了
20 3 0 1111 西西 鬼3 无将 胡东胡南胡西胡北
20 3 1 -1 西西 鬼3 有将 胡了
1042 4 0 1101 东西西西西北北 鬼4 无将 胡东胡南胡北
1042 4 1 -1 东西西西西北北 鬼4 有将 胡了
1042 1 0 1101 东西西西西北北 鬼1 无将 胡东胡南胡北
1042 1 1 -1 东西西西西北北 鬼1 有将 胡了
1042 3 1 1101 东西西西西北北 鬼3 有将 胡东胡南胡北
4112 0 0 111 东东东东南西北北 鬼0 无将 胡南胡西胡北
4112 0 1 -1 东东东东南西北北 鬼0 有将 胡了
1043 0 0 101 东西西西西北北北 鬼0 无将 胡南胡北
4112 2 1 111 东东东东南西北北 鬼2 有将 胡南胡西胡北
4112 4 0 -1 东东东东南西北北 鬼4 无将 胡了
1043 0 1 -1 东西西西西北北北 鬼0 有将 胡了
4112 1 0 -1 东东东东南西北北 鬼1 无将 胡了
21 2 0 1111 西西北 鬼2 无将 胡东胡南胡西胡北
1043 2 1 1101 东西西西西北北北 鬼2 有将 胡东胡南胡北
21 2 1 -1 西西北 鬼2 有将 胡了
1043 4 0 -1 东西西西西北北北 鬼4 无将 胡了
1043 1 0 -1 东西西西西北北北 鬼1 无将 胡了
4112 3 0 111 东东东东南西北北 鬼3 无将 胡南胡西胡北
1043 3 0 1101 东西西西西北北北 鬼3 无将 胡东胡南胡北
21 4 1 1111 西西北 鬼4 有将 胡东胡南胡西胡北
1043 3 1 -1 东西西西西北北北 鬼3 有将 胡了
4112 3 1 -1 东东东东南西北北 鬼3 有将 胡了
21 1 1 1111 西西北 鬼1 有将 胡东胡南胡西胡北
21 3 0 -1 西西北 鬼3 无将 胡了
24 2 0 1110 西西北北北北 鬼2 无将 胡东胡南胡西
1044 0 0 -1 东西西西西北北北北 鬼0 无将 胡了
22 0 1 11 西西北北 鬼0 有将 胡西胡北
4114 0 1 110 东东东东南西北北北北 鬼0 有将 胡南胡西
4113 0 0 -1 东东东东南西北北北 鬼0 无将 胡了
4114 2 0 -1 东东东东南西北北北北 鬼2 无将 胡了
23 0 0 10 西西北北北 鬼0 无将 胡西
4114 4 0 110 东东东东南西北北北北 鬼4 无将 胡南胡西
4113 2 0 111 东东东东南西北北北 鬼2 无将 胡南胡西胡北
22 2 0 -1 西西北北 鬼2 无将 胡了
1044 2 0 1100 东西西西西北北北北 鬼2 无将 胡东胡南
24 2 1 -1 西西北北北北 鬼2 有将 胡了
1044 2 1 -1 东西西西西北北北北 鬼2 有将 胡了
22 4 0 1111 西西北北 鬼4 无将 胡东胡南胡西胡北
4113 2 1 -1 东东东东南西北北北 鬼2 有将 胡了
4114 4 1 -1 东东东东南西北北北北 鬼4 有将 胡了
23 0 1 -1 西西北北北 鬼0 有将 胡了
4114 1 0 110 东东东东南西北北北北 鬼1 无将 胡南胡西
4113 4 1 111 东东东东南西北北北 鬼4 有将 胡南胡西胡北
22 4 1 -1 西西北北 鬼4 有将 胡了
1044 4 1 1100 东西西西西北北北北 鬼4 有将 胡东胡南
24 4 1 1110 西西北北北北 鬼4 有将 胡东胡南胡西
1044 1 1 1100 东西西西西北北北北 鬼1 有将 胡东胡南
22 1 0 1111 西西北北 鬼1 无将 胡东胡南胡西胡北
1044 3 0 -1 东西西西西北北北北 鬼3 无将 胡了
4113 1 1 111 东东东东南西北北北 鬼1 有将 胡南胡西胡北
4114 1 1 -1 东东东东南西北北北北 鬼1 有将 胡了
23 2 1 1111 西西北北北 鬼2 有将 胡东胡南胡西胡北
4114 3 1 110 东东东东南西北北北北 鬼3 有将 胡南胡西
23 4 0 -1 西西北北北 鬼4 无将 胡了
23 1 0 -1 西西北北北 鬼1 无将 胡了
23 3 0 1111 西西北北北 鬼3 无将 胡东胡南胡西胡北
23 3 1 -1 西西北北北 鬼3 有将 胡了
4113 3 0 -1 东东东东南西北北北 鬼3 无将 胡了
22 1 1 -1 西西北北 鬼1 有将 胡了
24 1 1 1110 西西北北北北 鬼1 有将 胡东胡南胡西
24 3 0 -1 西西北北北北 鬼3 无将 胡了
22 3 1 1111 西西北北 鬼3 有将 胡东胡南胡西胡北
4120 0 1 111 东东东东南西西 鬼0 有将 胡南胡西胡北
4120 2 0 -1 东东东东南西西 鬼2 无将 胡了
4120 4 0 111 东东东东南西西 鬼4 无将 胡南胡西胡北
4120 4 1 -1 东东东东南西西 鬼4 有将 胡了
4120 1 0 111 东东东东南西西 鬼1 无将 胡南胡西胡北
4120 1 1 -1 东东东东南西西 鬼1 有将 胡了
4120 3 1 111 东东东东南西西 鬼3 有将 胡南胡西胡北
3100 0 1 111 东东东南 鬼0 有将 胡南胡西胡北
3100 2 0 -1 东东东南 鬼2 无将 胡了
3100 4 0 1111 东东东南 鬼4 无将 胡东胡南胡西胡北
3100 4 1 -1 东东东南 鬼4 有将 胡了
3100 1 0 1111 东东东南 鬼1 无将 胡东胡南胡西胡北
3100 1 1 -1 东东东南 鬼1 有将 胡了
3100 3 1 1111 东东东南 鬼3 有将 胡东胡南胡西胡北
30 0 0 -1 西西西 鬼0 无将 胡了
30 2 0 1111 西西西 鬼2 无将 胡东胡南胡西胡北
30 2 1 -1 西西西 鬼2 有将 胡了
30 4 1 1111 西西西 鬼4 有将 胡东胡南胡西胡北
30 1 1 1101 西西西 鬼1 有将 胡东胡南胡北
30 3 0 -1 西西西 鬼3 无将 胡了
4121 0 0 111 东东东东南西西北 鬼0 无将 胡南胡西胡北
4121 0 1 -1 东东东东南西西北 鬼0 有将 胡了
4121 2 1 111 东东东东南西西北 鬼2 有将 胡南胡西胡北
4121 4 0 -1 东东东东南西西北 鬼4 无将 胡了
4121 1 0 -1 东东东东南西西北 鬼1 无将 胡了
4121 3 0 111 东东东东南西西北 鬼3 无将 胡南胡西胡北
4121 3 1 -1 东东东东南西西北 鬼3 有将 胡了
3101 0 0 1010 东东东南北 鬼0 无将 胡东胡西
3101 0 1 -1 东东东南北 鬼0 有将 胡了
3101 2 1 1111 东东东南北 鬼2 有将 胡东胡南胡西胡北
31 0 1 1101 西西西北 鬼0 有将 胡东胡南胡北
3101 4 0 -1 东东东南北 鬼4 无将 胡了
31 2 0 -1 西西西北 鬼2 无将 胡了
31 4 0 1111 西西西北 鬼4 无将 胡东胡南胡西胡北
3101 1 0 -1 东东东南北 鬼1 无将 胡了
3101 3 0 1111 东东东南北 鬼3 无将 胡东胡南胡西胡北
3101 3 1 -1 东东东南北 鬼3 有将 胡了
31 4 1 -1 西西西北 鬼4 有将 胡了
31 1 0 1111 西西西北 鬼1 无将 胡东胡南胡西胡北
31 1 1 -1 西西西北 鬼1 有将 胡了
31 3 1 1111 西西西北 鬼3 有将 胡东胡南胡西胡北
4124 0 0 110 东东东东南西西北北北北 鬼0 无将 胡南胡西
4124 0 1 -1 东东东东南西西北北北北 鬼0 有将 胡了
4124 2 1 110 东东东东南西西北北北北 鬼2 有将 胡南胡西
4124 1 0 -1 东东东东南西西北北北北 鬼1 无将 胡了
4124 3 0 110 东东东东南西西北北北北 鬼3 无将 胡南胡西
4124 3 1 -1 东东东东南西西北北北北 鬼3 有将 胡了
32 0 0 1 西西西北北 鬼0 无将 胡北
32 0 1 -1 西西西北北 鬼0 有将 胡了
32 2 1 1111 西西西北北 鬼2 有将 胡东胡南胡西胡北
32 4 0 -1 西西西北北 鬼4 无将 胡了
32 1 0 -1 西西西北北 鬼1 无将 胡了
32 3 0 1111 西西西北北 鬼3 无将 胡东胡南胡西胡北
32 3 1 -1 西西西北北 鬼3 有将 胡了
3102 2 0 1111 东东东南北北 鬼2 无将 胡东胡南胡西胡北
3102 2 1 -1 东东东南北北 鬼2 有将 胡了
3102 4 1 1111 东东东南北北 鬼4 有将 胡东胡南胡西胡北
3102 1 1 1111 东东东南北北 鬼1 有将 胡东胡南胡西胡北
3102 3 0 -1 东东东南北北 鬼3 无将 胡了
3103 0 1 1111 东东东南北北北 鬼0 有将 胡东胡南胡西胡北
3103 2 0 -1 东东东南北北北 鬼2 无将 胡了
3103 4 0 1111 东东东南北北北 鬼4 无将 胡东胡南胡西胡北
3103 4 1 -1 东东东南北北北 鬼4 有将 胡了
3103 1 0 1111 东东东南北北北 鬼1 无将 胡东胡南胡西胡北
3103 1 1 -1 东东东南北北北 鬼1 有将 胡了
3103 3 1 1111 东东东南北北北 鬼3 有将 胡东胡南胡西胡北
34 0 1 1100 西西西北北北北 鬼0 有将 胡东胡南
34 2 0 -1 西西西北北北北 鬼2 无将 胡了
34 4 0 1110 西西西北北北北 鬼4 无将 胡东胡南胡西
34 4 1 -1 西西西北北北北 鬼4 有将 胡了
4123 0 1 111 东东东东南西西北北北 鬼0 有将 胡南胡西胡北
33 0 0 -1 西西西北北北 鬼0 无将 胡了
4123 2 0 -1 东东东东南西西北北北 鬼2 无将 胡了
4123 4 0 111 东东东东南西西北北北 鬼4 无将 胡南胡西胡北
34 1 0 1110 西西西北北北北 鬼1 无将 胡东胡南胡西
34 1 1 -1 西西西北北北北 鬼1 有将 胡了
34 3 1 1110 西西西北北北北 鬼3 有将 胡东胡南胡西
4123 4 1 -1 东东东东南西西北北北 鬼4 有将 胡了
33 2 0 1111 西西西北北北 鬼2 无将 胡东胡南胡西胡北
33 2 1 -1 西西西北北北 鬼2 有将 胡了
4130 0 0 11 东东东东南西西西 鬼0 无将 胡西胡北
4123 1 0 111 东东东东南西西北北北 鬼1 无将 胡南胡西胡北
4131 0 0 -1 东东东东南西西西北 鬼0 无将 胡了
4123 1 1 -1 东东东东南西西北北北 鬼1 有将 胡了
4130 0 1 -1 东东东东南西西西 鬼0 有将 胡了
33 4 1 1111 西西西北北北 鬼4 有将 胡东胡南胡西胡北
4130 2 1 111 东东东东南西西西 鬼2 有将 胡南胡西胡北
4130 4 0 -1 东东东东南西西西 鬼4 无将 胡了
4130 1 0 -1 东东东东南西西西 鬼1 无将 胡了
33 1 1 1111 西西西北北北 鬼1 有将 胡东胡南胡西胡北
4123 3 1 111 东东东东南西西北北北 鬼3 有将 胡南胡西胡北
4131 2 0 111 东东东东南西西西北 鬼2 无将 胡南胡西胡北
4131 2 1 -1 东东东东南西西西北 鬼2 有将 胡了
33 3 0 -1 西西西北北北 鬼3 无将 胡了
3104 0 0 1010 东东东南北北北北 鬼0 无将 胡东胡西
